	 i = 89    	 yi = 57.5194    	 xi = 2.25    	 h = 0.015625    	 yi(1/2) = 57.5194    	 yi - yi(1/2) = 1.09397e-09    	 LEE = 1.1669e-09    	 c1 = 6    	 c2 = 1
	 i = 90    	 yi = 59.1052    	 xi = 2.26562    	 h = 0.015625    	 yi(1/2) = 59.1052    	 yi - yi(1/2) = 1.12011e-09    	 LEE = 1.19478e-09    	 c1 = 6    	 c2 = 1
	 i = 91    	 yi = 60.7314    	 xi = 2.28125    	 h = 0.015625    	 yi(1/2) = 60.7314    	 yi - yi(1/2) = 1.14682e-09    	 LEE = 1.22327e-09    	 c1 = 6    	 c2 = 1
	 i = 92    	 yi = 62.399    	 xi = 2.29688    	 h = 0.015625    	 yi(1/2) = 62.399    	 yi - yi(1/2) = 1.17414e-09    	 LEE = 1.25242e-09    	 c1 = 6    	 c2 = 1
	 i = 93    	 yi = 64.1091    	 xi = 2.3125    	 h = 0.015625    	 yi(1/2) = 64.1091    	 yi - yi(1/2) = 1.20207e-09    	 LEE = 1.28221e-09    	 c1 = 6    	 c2 = 1
	 i = 94    	 yi = 65.8625    	 xi = 2.32812    	 h = 0.015625    	 yi(1/2) = 65.8625    	 yi - yi(1/2) = 1.23063e-09    	 LEE = 1.31267e-09    	 c1 = 6    	 c2 = 1
	 i = 95    	 yi = 67.6603    	 xi = 2.34375    	 h = 0.015625    	 yi(1/2) = 67.6603    	 yi - yi(1/2) = 1.25982e-09    	 LEE = 1.34381e-09    	 c1 = 6    	 c2 = 1
	 i = 96    	 yi = 69.5036    	 xi = 2.35938    	 h = 0.015625    	 yi(1/2) = 69.5036    	 yi - yi(1/2) = 1.28966e-09    	 LEE = 1.37564e-09    	 c1 = 6    	 c2 = 1
	 i = 97    	 yi = 71.3934    	 xi = 2.375    	 h = 0.015625    	 yi(1/2) = 71.3934    	 yi - yi(1/2) = 1.32019e-09    	 LEE = 1.4082e-09    	 c1 = 6    	 c2 = 1
	 i = 98    	 yi = 73.3309    	 xi = 2.39062    	 h = 0.015625    	 yi(1/2) = 73.3309    	 yi - yi(1/2) = 1.35137e-09    	 LEE = 1.44146e-09    	 c1 = 6    	 c2 = 1
	 i = 99    	 yi = 75.3171    	 xi = 2.40625    	 h = 0.015625    	 yi(1/2) = 75.3171    	 yi - yi(1/2) = 1.38324e-09    	 LEE = 1.47546e-09    	 c1 = 6    	 c2 = 1
	 i = 100    	 yi = 77.3531    	 xi = 2.42188    	 h = 0.015625    	 yi(1/2) = 77.3531    	 yi - yi(1/2) = 1.41583e-09    	 LEE = 1.51022e-09    	 c1 = 6    	 c2 = 1
	 i = 101    	 yi = 79.4402    	 xi = 2.4375    	 h = 0.015625    	 yi(1/2) = 79.4402    	 yi - yi(1/2) = 1.44915e-09    	 LEE = 1.54576e-09    	 c1 = 6    	 c2 = 1
	 i = 102    	 yi = 81.5795    	 xi = 2.45312    	 h = 0.015625    	 yi(1/2) = 81.5795    	 yi - yi(1/2) = 1.4832e-09    	 LEE = 1.58208e-09    	 c1 = 6    	 c2 = 1
	 i = 103    	 yi = 83.7722    	 xi = 2.46875    	 h = 0.015625    	 yi(1/2) = 83.7722    	 yi - yi(1/2) = 1.518e-09    	 LEE = 1.6192e-09    	 c1 = 6    	 c2 = 1
	 i = 104    	 yi = 86.0197    	 xi = 2.48438    	 h = 0.015625    	 yi(1/2) = 86.0197    	 yi - yi(1/2) = 1.55359e-09    	 LEE = 1.65716e-09    	 c1 = 6    	 c2 = 1
	 i = 105    	 yi = 88.3231    	 xi = 2.5    	 h = 0.015625    	 yi(1/2) = 88.3231    	 yi - yi(1/2) = 1.58995e-09    	 LEE = 1.69595e-09    	 c1 = 6    	 c2 = 1
	 i = 106    	 yi = 90.6837    	 xi = 2.51562    	 h = 0.015625    	 yi(1/2) = 90.6837    	 yi - yi(1/2) = 1.62713e-09    	 LEE = 1.7356e-09    	 c1 = 6    	 c2 = 1
	 i = 107    	 yi = 93.103    	 xi = 2.53125    	 h = 0.015625    	 yi(1/2) = 93.103    	 yi - yi(1/2) = 1.66511e-09    	 LEE = 1.77612e-09    	 c1 = 6    	 c2 = 1
	 i = 108    	 yi = 95.5821    	 xi = 2.54688    	 h = 0.015625    	 yi(1/2) = 95.5821    	 yi - yi(1/2) = 1.70395e-09    	 LEE = 1.81755e-09    	 c1 = 6    	 c2 = 1
	 i = 109    	 yi = 98.1226    	 xi = 2.5625    	 h = 0.015625    	 yi(1/2) = 98.1226    	 yi - yi(1/2) = 1.74363e-09    	 LEE = 1.85987e-09    	 c1 = 6    	 c2 = 1
	 i = 110    	 yi = 100.726    	 xi = 2.57812    	 h = 0.015625    	 yi(1/2) = 100.726    	 yi - yi(1/2) = 1.78419e-09    	 LEE = 1.90313e-09    	 c1 = 6    	 c2 = 1
	 i = 111    	 yi = 103.393    	 xi = 2.59375    	 h = 0.015625    	 yi(1/2) = 103.393    	 yi - yi(1/2) = 1.82564e-09    	 LEE = 1.94735e-09    	 c1 = 6    	 c2 = 1
	 i = 112    	 yi = 106.126    	 xi = 2.60938    	 h = 0.015625    	 yi(1/2) = 106.126    	 yi - yi(1/2) = 1.86797e-09    	 LEE = 1.99251e-09    	 c1 = 6    	 c2 = 1
	 i = 113    	 yi = 108.927    	 xi = 2.625    	 h = 0.015625    	 yi(1/2) = 108.927    	 yi - yi(1/2) = 1.91127e-09    	 LEE = 2.03869e-09    	 c1 = 6    	 c2 = 1
	 i = 114    	 yi = 111.796    	 xi = 2.64062    	 h = 0.015625    	 yi(1/2) = 111.796    	 yi - yi(1/2) = 1.95551e-09    	 LEE = 2.08588e-09    	 c1 = 6    	 c2 = 1
	 i = 115    	 yi = 114.735    	 xi = 2.65625    	 h = 0.015625    	 yi(1/2) = 114.735    	 yi - yi(1/2) = 2.00073e-09    	 LEE = 2.13411e-09    	 c1 = 6    	 c2 = 1
	 i = 116    	 yi = 117.746    	 xi = 2.67188    	 h = 0.015625    	 yi(1/2) = 117.746    	 yi - yi(1/2) = 2.04692e-09    	 LEE = 2.18338e-09    	 c1 = 6    	 c2 = 1
	 i = 117    	 yi = 120.831    	 xi = 2.6875    	 h = 0.015625    	 yi(1/2) = 120.831    	 yi - yi(1/2) = 2.09413e-09    	 LEE = 2.23373e-09    	 c1 = 6    	 c2 = 1
	 i = 118    	 yi = 123.991    	 xi = 2.70312    	 h = 0.015625    	 yi(1/2) = 123.991    	 yi - yi(1/2) = 2.14237e-09    	 LEE = 2.2852e-09    	 c1 = 6    	 c2 = 1
	 i = 119    	 yi = 127.228    	 xi = 2.71875    	 h = 0.015625    	 yi(1/2) = 127.228    	 yi - yi(1/2) = 2.19165e-09    	 LEE = 2.33777e-09    	 c1 = 6    	 c2 = 1
	 i = 120    	 yi = 130.544    	 xi = 2.73438    	 h = 0.015625    	 yi(1/2) = 130.544    	 yi - yi(1/2) = 2.24202e-09    	 LEE = 2.39149e-09    	 c1 = 6    	 c2 = 1
	 i = 121    	 yi = 133.94    	 xi = 2.75    	 h = 0.015625    	 yi(1/2) = 133.94    	 yi - yi(1/2) = 2.29352e-09    	 LEE = 2.44642e-09    	 c1 = 6    	 c2 = 1
	 i = 122    	 yi = 137.419    	 xi = 2.76562    	 h = 0.015625    	 yi(1/2) = 137.419    	 yi - yi(1/2) = 2.3461e-09    	 LEE = 2.5025e-09    	 c1 = 6    	 c2 = 1
	 i = 123    	 yi = 140.981    	 xi = 2.78125    	 h = 0.015625    	 yi(1/2) = 140.981    	 yi - yi(1/2) = 2.39982e-09    	 LEE = 2.5598e-09    	 c1 = 6    	 c2 = 1
	 i = 124    	 yi = 144.63    	 xi = 2.79688    	 h = 0.015625    	 yi(1/2) = 144.63    	 yi - yi(1/2) = 2.4547e-09    	 LEE = 2.61834e-09    	 c1 = 6    	 c2 = 1
	 i = 125    	 yi = 148.367    	 xi = 2.8125    	 h = 0.015625    	 yi(1/2) = 148.367    	 yi - yi(1/2) = 2.5108e-09    	 LEE = 2.67819e-09    	 c1 = 6    	 c2 = 1
	 i = 126    	 yi = 152.195    	 xi = 2.82812    	 h = 0.015625    	 yi(1/2) = 152.195    	 yi - yi(1/2) = 2.5681e-09    	 LEE = 2.73931e-09    	 c1 = 6    	 c2 = 1
	 i = 127    	 yi = 156.114    	 xi = 2.84375    	 h = 0.015625    	 yi(1/2) = 156.114    	 yi - yi(1/2) = 2.62665e-09    	 LEE = 2.80176e-09    	 c1 = 6    	 c2 = 1
