	 i = -1    	 yi = 1    	 xi = 0    	 h = 0.25    	 yi(1/2) = 2.05923    	 yi - yi(1/2) = -0.00850182    	 LEE = 0.00971636    	 c1 = 1    	 c2 = 0
	 i = 55    	 yi = 4.23551    	 xi = 0.875    	 h = 0.015625    	 yi(1/2) = 4.23551    	 yi - yi(1/2) = -3.70082e-08    	 LEE = 4.22951e-08    	 c1 = 5    	 c2 = 0
	 i = 56    	 yi = 4.36943    	 xi = 0.890625    	 h = 0.015625    	 yi(1/2) = 4.36943    	 yi - yi(1/2) = -3.80597e-08    	 LEE = 4.34967e-08    	 c1 = 5    	 c2 = 0
	 i = 57    	 yi = 4.50773    	 xi = 0.90625    	 h = 0.015625    	 yi(1/2) = 4.50773    	 yi - yi(1/2) = -3.91376e-08    	 LEE = 4.47287e-08    	 c1 = 5    	 c2 = 0
	 i = 58    	 yi = 4.65053    	 xi = 0.921875    	 h = 0.015625    	 yi(1/2) = 4.65053    	 yi - yi(1/2) = -4.02427e-08    	 LEE = 4.59917e-08    	 c1 = 5    	 c2 = 0
	 i = 59    	 yi = 4.79795    	 xi = 0.9375    	 h = 0.015625    	 yi(1/2) = 4.79795    	 yi - yi(1/2) = -4.13756e-08    	 LEE = 4.72864e-08    	 c1 = 5    	 c2 = 0
	 i = 60    	 yi = 4.95013    	 xi = 0.953125    	 h = 0.015625    	 yi(1/2) = 4.95013    	 yi - yi(1/2) = -4.25369e-08    	 LEE = 4.86136e-08    	 c1 = 5    	 c2 = 0
	 i = 61    	 yi = 5.1072    	 xi = 0.96875    	 h = 0.015625    	 yi(1/2) = 5.1072    	 yi - yi(1/2) = -4.37273e-08    	 LEE = 4.99741e-08    	 c1 = 5    	 c2 = 0
	 i = 62    	 yi = 5.2693    	 xi = 0.984375    	 h = 0.015625    	 yi(1/2) = 5.2693    	 yi - yi(1/2) = -4.49474e-08    	 LEE = 5.13685e-08    	 c1 = 5    	 c2 = 0
	 i = 63    	 yi = 5.43656    	 xi = 1    	 h = 0.015625    	 yi(1/2) = 5.43656    	 yi - yi(1/2) = -4.6198e-08    	 LEE = 5.27977e-08    	 c1 = 5    	 c2 = 0
	 i = 64    	 yi = 5.60913    	 xi = 1.01562    	 h = 0.015625    	 yi(1/2) = 5.60913    	 yi - yi(1/2) = -4.74797e-08    	 LEE = 5.42625e-08    	 c1 = 5    	 c2 = 0
	 i = 65    	 yi = 5.78716    	 xi = 1.03125    	 h = 0.015625    	 yi(1/2) = 5.78716    	 yi - yi(1/2) = -4.87932e-08    	 LEE = 5.57637e-08    	 c1 = 5    	 c2 = 0
	 i = 66    	 yi = 5.9708    	 xi = 1.04688    	 h = 0.015625    	 yi(1/2) = 5.9708    	 yi - yi(1/2) = -5.01393e-08    	 LEE = 5.73021e-08    	 c1 = 5    	 c2 = 0
	 i = 67    	 yi = 6.16019    	 xi = 1.0625    	 h = 0.015625    	 yi(1/2) = 6.16019    	 yi - yi(1/2) = -5.15188e-08    	 LEE = 5.88786e-08    	 c1 = 5    	 c2 = 0
	 i = 68    	 yi = 6.35551    	 xi = 1.07812    	 h = 0.015625    	 yi(1/2) = 6.35551    	 yi - yi(1/2) = -5.29323e-08    	 LEE = 6.04941e-08    	 c1 = 5    	 c2 = 0
	 i = 69    	 yi = 6.55691    	 xi = 1.09375    	 h = 0.015625    	 yi(1/2) = 6.55691    	 yi - yi(1/2) = -5.43807e-08    	 LEE = 6.21494e-08    	 c1 = 5    	 c2 = 0
	 i = 70    	 yi = 6.76455    	 xi = 1.10938    	 h = 0.015625    	 yi(1/2) = 6.76455    	 yi - yi(1/2) = -5.58648e-08    	 LEE = 6.38454e-08    	 c1 = 5    	 c2 = 0
	 i = 71    	 yi = 6.97861    	 xi = 1.125    	 h = 0.015625    	 yi(1/2) = 6.97861    	 yi - yi(1/2) = -5.73853e-08    	 LEE = 6.55832e-08    	 c1 = 5    	 c2 = 0
	 i = 72    	 yi = 7.19927    	 xi = 1.14062    	 h = 0.015625    	 yi(1/2) = 7.19927    	 yi - yi(1/2) = -5.89432e-08    	 LEE = 6.73636e-08    	 c1 = 5    	 c2 = 0
	 i = 73    	 yi = 7.42669    	 xi = 1.15625    	 h = 0.015625    	 yi(1/2) = 7.42669    	 yi - yi(1/2) = -6.05392e-08    	 LEE = 6.91876e-08    	 c1 = 5    	 c2 = 0
	 i = 74    	 yi = 7.66107    	 xi = 1.17188    	 h = 0.015625    	 yi(1/2) = 7.66107    	 yi - yi(1/2) = -6.21742e-08    	 LEE = 7.10562e-08    	 c1 = 5    	 c2 = 0
	 i = 75    	 yi = 7.90259    	 xi = 1.1875    	 h = 0.015625    	 yi(1/2) = 7.90259    	 yi - yi(1/2) = -6.38492e-08    	 LEE = 7.29705e-08    	 c1 = 5    	 c2 = 0
	 i = 76    	 yi = 8.15145    	 xi = 1.20312    	 h = 0.015625    	 yi(1/2) = 8.15145    	 yi - yi(1/2) = -6.5565e-08    	 LEE = 7.49314e-08    	 c1 = 5    	 c2 = 0
	 i = 77    	 yi = 8.40783    	 xi = 1.21875    	 h = 0.015625    	 yi(1/2) = 8.40783    	 yi - yi(1/2) = -6.73225e-08    	 LEE = 7.694e-08    	 c1 = 5    	 c2 = 0
	 i = 78    	 yi = 8.67195    	 xi = 1.23438    	 h = 0.015625    	 yi(1/2) = 8.67195    	 yi - yi(1/2) = -6.91227e-08    	 LEE = 7.89974e-08    	 c1 = 5    	 c2 = 0
	 i = 78    	 yi = 8.67195    	 xi = 1.23438    	 h = 0.0078125    	 yi(1/2) = 8.944    	 yi - yi(1/2) = -7.09666e-08    	 LEE = 8.11047e-08    	 c1 = 6    	 c2 = 0
	 i = 79    	 yi = 8.80697    	 xi = 1.24219    	 h = 0.0078125    	 yi(1/2) = 8.80697    	 yi - yi(1/2) = -4.42546e-09    	 LEE = 5.05767e-09    	 c1 = 6    	 c2 = 0
	 i = 80    	 yi = 8.944    	 xi = 1.25    	 h = 0.0078125    	 yi(1/2) = 8.944    	 yi - yi(1/2) = -4.48401e-09    	 LEE = 5.12458e-09    	 c1 = 6    	 c2 = 0
	 i = 81    	 yi = 9.08307    	 xi = 1.25781    	 h = 0.0078125    	 yi(1/2) = 9.08307    	 yi - yi(1/2) = -4.54326e-09    	 LEE = 5.1923e-09    	 c1 = 6    	 c2 = 0
	 i = 82    	 yi = 9.2242    	 xi = 1.26562    	 h = 0.0078125    	 yi(1/2) = 9.2242    	 yi - yi(1/2) = -4.60323e-09    	 LEE = 5.26083e-09    	 c1 = 6    	 c2 = 0
	 i = 83    	 yi = 9.36743    	 xi = 1.27344    	 h = 0.0078125    	 yi(1/2) = 9.36743    	 yi - yi(1/2) = -4.66391e-09    	 LEE = 5.33018e-09    	 c1 = 6    	 c2 = 0
