	 i = -1    	 yi = 1    	 xi = 0    	 h = 0.25    	 yi(1/2) = 2.05923    	 yi - yi(1/2) = -0.00850182    	 LEE = 0.00971636    	 c1 = 1    	 c2 = 0
	 i = 4008    	 yi = 979666    	 xi = 9.31934    	 h = 0.000976562    	 yi(1/2) = 979666    	 yi - yi(1/2) = -4.70318e-08    	 LEE = 5.37506e-08    	 c1 = 10    	 c2 = 1
	 i = 4009    	 yi = 980826    	 xi = 9.32031    	 h = 0.000976562    	 yi(1/2) = 980826    	 yi - yi(1/2) = -4.69154e-08    	 LEE = 5.36176e-08    	 c1 = 10    	 c2 = 1
	 i = 4010    	 yi = 981988    	 xi = 9.32129    	 h = 0.000976562    	 yi(1/2) = 981988    	 yi - yi(1/2) = -4.70318e-08    	 LEE = 5.37506e-08    	 c1 = 10    	 c2 = 1
	 i = 4011    	 yi = 983151    	 xi = 9.32227    	 h = 0.000976562    	 yi(1/2) = 983151    	 yi - yi(1/2) = -4.71482e-08    	 LEE = 5.38837e-08    	 c1 = 10    	 c2 = 1
	 i = 4012    	 yi = 984316    	 xi = 9.32324    	 h = 0.000976562    	 yi(1/2) = 984316    	 yi - yi(1/2) = -4.71482e-08    	 LEE = 5.38837e-08    	 c1 = 10    	 c2 = 1
	 i = 4013    	 yi = 985481    	 xi = 9.32422    	 h = 0.000976562    	 yi(1/2) = 985481    	 yi - yi(1/2) = -4.71482e-08    	 LEE = 5.38837e-08    	 c1 = 10    	 c2 = 1
	 i = 4014    	 yi = 986649    	 xi = 9.3252    	 h = 0.000976562    	 yi(1/2) = 986649    	 yi - yi(1/2) = -4.72646e-08    	 LEE = 5.40167e-08    	 c1 = 10    	 c2 = 1
	 i = 4015    	 yi = 987817    	 xi = 9.32617    	 h = 0.000976562    	 yi(1/2) = 987817    	 yi - yi(1/2) = -4.7381e-08    	 LEE = 5.41498e-08    	 c1 = 10    	 c2 = 1
	 i = 4016    	 yi = 988987    	 xi = 9.32715    	 h = 0.000976562    	 yi(1/2) = 988987    	 yi - yi(1/2) = -4.7381e-08    	 LEE = 5.41498e-08    	 c1 = 10    	 c2 = 1
	 i = 4017    	 yi = 990158    	 xi = 9.32812    	 h = 0.000976562    	 yi(1/2) = 990158    	 yi - yi(1/2) = -4.74975e-08    	 LEE = 5.42828e-08    	 c1 = 10    	 c2 = 1
	 i = 4018    	 yi = 991331    	 xi = 9.3291    	 h = 0.000976562    	 yi(1/2) = 991331    	 yi - yi(1/2) = -4.74975e-08    	 LEE = 5.42828e-08    	 c1 = 10    	 c2 = 1
	 i = 4019    	 yi = 992505    	 xi = 9.33008    	 h = 0.000976562    	 yi(1/2) = 992505    	 yi - yi(1/2) = -4.74975e-08    	 LEE = 5.42828e-08    	 c1 = 10    	 c2 = 1
	 i = 4020    	 yi = 993680    	 xi = 9.33105    	 h = 0.000976562    	 yi(1/2) = 993680    	 yi - yi(1/2) = -4.76139e-08    	 LEE = 5.44158e-08    	 c1 = 10    	 c2 = 1
	 i = 4021    	 yi = 994857    	 xi = 9.33203    	 h = 0.000976562    	 yi(1/2) = 994857    	 yi - yi(1/2) = -4.77303e-08    	 LEE = 5.45489e-08    	 c1 = 10    	 c2 = 1
	 i = 4022    	 yi = 996035    	 xi = 9.33301    	 h = 0.000976562    	 yi(1/2) = 996035    	 yi - yi(1/2) = -4.77303e-08    	 LEE = 5.45489e-08    	 c1 = 10    	 c2 = 1
	 i = 4023    	 yi = 997214    	 xi = 9.33398    	 h = 0.000976562    	 yi(1/2) = 997214    	 yi - yi(1/2) = -4.77303e-08    	 LEE = 5.45489e-08    	 c1 = 10    	 c2 = 1
	 i = 4024    	 yi = 998395    	 xi = 9.33496    	 h = 0.000976562    	 yi(1/2) = 998395    	 yi - yi(1/2) = -4.78467e-08    	 LEE = 5.46819e-08    	 c1 = 10    	 c2 = 1
	 i = 4025    	 yi = 999577    	 xi = 9.33594    	 h = 0.000976562    	 yi(1/2) = 999577    	 yi - yi(1/2) = -4.78467e-08    	 LEE = 5.46819e-08    	 c1 = 10    	 c2 = 1
	 i = 4026    	 yi = 1.00076e+06    	 xi = 9.33691    	 h = 0.000976562    	 yi(1/2) = 1.00076e+06    	 yi - yi(1/2) = -4.79631e-08    	 LEE = 5.4815e-08    	 c1 = 10    	 c2 = 1
	 i = 4027    	 yi = 1.00195e+06    	 xi = 9.33789    	 h = 0.000976562    	 yi(1/2) = 1.00195e+06    	 yi - yi(1/2) = -4.80795e-08    	 LEE = 5.4948e-08    	 c1 = 10    	 c2 = 1
	 i = 4028    	 yi = 1.00313e+06    	 xi = 9.33887    	 h = 0.000976562    	 yi(1/2) = 1.00313e+06    	 yi - yi(1/2) = -4.80795e-08    	 LEE = 5.4948e-08    	 c1 = 10    	 c2 = 1
	 i = 4029    	 yi = 1.00432e+06    	 xi = 9.33984    	 h = 0.000976562    	 yi(1/2) = 1.00432e+06    	 yi - yi(1/2) = -4.80795e-08    	 LEE = 5.4948e-08    	 c1 = 10    	 c2 = 1
	 i = 4030    	 yi = 1.00551e+06    	 xi = 9.34082    	 h = 0.000976562    	 yi(1/2) = 1.00551e+06    	 yi - yi(1/2) = -4.80795e-08    	 LEE = 5.4948e-08    	 c1 = 10    	 c2 = 1
	 i = 4031    	 yi = 1.0067e+06    	 xi = 9.3418    	 h = 0.000976562    	 yi(1/2) = 1.0067e+06    	 yi - yi(1/2) = -4.81959e-08    	 LEE = 5.50811e-08    	 c1 = 10    	 c2 = 1
	 i = 4032    	 yi = 1.00789e+06    	 xi = 9.34277    	 h = 0.000976562    	 yi(1/2) = 1.00789e+06    	 yi - yi(1/2) = -4.83124e-08    	 LEE = 5.52141e-08    	 c1 = 10    	 c2 = 1
	 i = 4033    	 yi = 1.00908e+06    	 xi = 9.34375    	 h = 0.000976562    	 yi(1/2) = 1.00908e+06    	 yi - yi(1/2) = -4.83124e-08    	 LEE = 5.52141e-08    	 c1 = 10    	 c2 = 1
	 i = 4034    	 yi = 1.01028e+06    	 xi = 9.34473    	 h = 0.000976562    	 yi(1/2) = 1.01028e+06    	 yi - yi(1/2) = -4.84288e-08    	 LEE = 5.53472e-08    	 c1 = 10    	 c2 = 1
	 i = 4035    	 yi = 1.01148e+06    	 xi = 9.3457    	 h = 0.000976562    	 yi(1/2) = 1.01148e+06    	 yi - yi(1/2) = -4.84288e-08    	 LEE = 5.53472e-08    	 c1 = 10    	 c2 = 1
	 i = 4036    	 yi = 1.01267e+06    	 xi = 9.34668    	 h = 0.000976562    	 yi(1/2) = 1.01267e+06    	 yi - yi(1/2) = -4.85452e-08    	 LEE = 5.54802e-08    	 c1 = 10    	 c2 = 1
	 i = 4037    	 yi = 1.01387e+06    	 xi = 9.34766    	 h = 0.000976562    	 yi(1/2) = 1.01387e+06    	 yi - yi(1/2) = -4.85452e-08    	 LEE = 5.54802e-08    	 c1 = 10    	 c2 = 1
	 i = 4038    	 yi = 1.01507e+06    	 xi = 9.34863    	 h = 0.000976562    	 yi(1/2) = 1.01507e+06    	 yi - yi(1/2) = -4.86616e-08    	 LEE = 5.56133e-08    	 c1 = 10    	 c2 = 1
	 i = 4039    	 yi = 1.01627e+06    	 xi = 9.34961    	 h = 0.000976562    	 yi(1/2) = 1.01627e+06    	 yi - yi(1/2) = -4.86616e-08    	 LEE = 5.56133e-08    	 c1 = 10    	 c2 = 1
	 i = 4040    	 yi = 1.01748e+06    	 xi = 9.35059    	 h = 0.000976562    	 yi(1/2) = 1.01748e+06    	 yi - yi(1/2) = -4.86616e-08    	 LEE = 5.56133e-08    	 c1 = 10    	 c2 = 1
	 i = 4041    	 yi = 1.01868e+06    	 xi = 9.35156    	 h = 0.000976562    	 yi(1/2) = 1.01868e+06    	 yi - yi(1/2) = -4.8778e-08    	 LEE = 5.57463e-08    	 c1 = 10    	 c2 = 1
	 i = 4042    	 yi = 1.01989e+06    	 xi = 9.35254    	 h = 0.000976562    	 yi(1/2) = 1.01989e+06    	 yi - yi(1/2) = -4.88944e-08    	 LEE = 5.58794e-08    	 c1 = 10    	 c2 = 1
	 i = 4043    	 yi = 1.02109e+06    	 xi = 9.35352    	 h = 0.000976562    	 yi(1/2) = 1.02109e+06    	 yi - yi(1/2) = -4.88944e-08    	 LEE = 5.58794e-08    	 c1 = 10    	 c2 = 1
	 i = 4044    	 yi = 1.0223e+06    	 xi = 9.35449    	 h = 0.000976562    	 yi(1/2) = 1.0223e+06    	 yi - yi(1/2) = -4.90109e-08    	 LEE = 5.60124e-08    	 c1 = 10    	 c2 = 1
	 i = 4045    	 yi = 1.02351e+06    	 xi = 9.35547    	 h = 0.000976562    	 yi(1/2) = 1.02351e+06    	 yi - yi(1/2) = -4.88944e-08    	 LEE = 5.58794e-08    	 c1 = 10    	 c2 = 1
	 i = 4046    	 yi = 1.02472e+06    	 xi = 9.35645    	 h = 0.000976562    	 yi(1/2) = 1.02472e+06    	 yi - yi(1/2) = -4.91273e-08    	 LEE = 5.61454e-08    	 c1 = 10    	 c2 = 1
	 i = 4047    	 yi = 1.02594e+06    	 xi = 9.35742    	 h = 0.000976562    	 yi(1/2) = 1.02594e+06    	 yi - yi(1/2) = -4.91273e-08    	 LEE = 5.61454e-08    	 c1 = 10    	 c2 = 1
	 i = 4048    	 yi = 1.02715e+06    	 xi = 9.3584    	 h = 0.000976562    	 yi(1/2) = 1.02715e+06    	 yi - yi(1/2) = -4.92437e-08    	 LEE = 5.62785e-08    	 c1 = 10    	 c2 = 1
	 i = 4049    	 yi = 1.02837e+06    	 xi = 9.35938    	 h = 0.000976562    	 yi(1/2) = 1.02837e+06    	 yi - yi(1/2) = -4.93601e-08    	 LEE = 5.64115e-08    	 c1 = 10    	 c2 = 1
	 i = 4050    	 yi = 1.02958e+06    	 xi = 9.36035    	 h = 0.000976562    	 yi(1/2) = 1.02958e+06    	 yi - yi(1/2) = -4.92437e-08    	 LEE = 5.62785e-08    	 c1 = 10    	 c2 = 1
	 i = 4051    	 yi = 1.0308e+06    	 xi = 9.36133    	 h = 0.000976562    	 yi(1/2) = 1.0308e+06    	 yi - yi(1/2) = -4.93601e-08    	 LEE = 5.64115e-08    	 c1 = 10    	 c2 = 1
	 i = 4052    	 yi = 1.03202e+06    	 xi = 9.3623    	 h = 0.000976562    	 yi(1/2) = 1.03202e+06    	 yi - yi(1/2) = -4.93601e-08    	 LEE = 5.64115e-08    	 c1 = 10    	 c2 = 1
	 i = 4053    	 yi = 1.03324e+06    	 xi = 9.36328    	 h = 0.000976562    	 yi(1/2) = 1.03324e+06    	 yi - yi(1/2) = -4.94765e-08    	 LEE = 5.65446e-08    	 c1 = 10    	 c2 = 1
	 i = 4054    	 yi = 1.03447e+06    	 xi = 9.36426    	 h = 0.000976562    	 yi(1/2) = 1.03447e+06    	 yi - yi(1/2) = -4.94765e-08    	 LEE = 5.65446e-08    	 c1 = 10    	 c2 = 1
	 i = 4055    	 yi = 1.03569e+06    	 xi = 9.36523    	 h = 0.000976562    	 yi(1/2) = 1.03569e+06    	 yi - yi(1/2) = -4.94765e-08    	 LEE = 5.65446e-08    	 c1 = 10    	 c2 = 1
	 i = 4056    	 yi = 1.03692e+06    	 xi = 9.36621    	 h = 0.000976562    	 yi(1/2) = 1.03692e+06    	 yi - yi(1/2) = -4.95929e-08    	 LEE = 5.66776e-08    	 c1 = 10    	 c2 = 1
	 i = 4057    	 yi = 1.03814e+06    	 xi = 9.36719    	 h = 0.000976562    	 yi(1/2) = 1.03814e+06    	 yi - yi(1/2) = -4.97093e-08    	 LEE = 5.68107e-08    	 c1 = 10    	 c2 = 1
	 i = 4058    	 yi = 1.03937e+06    	 xi = 9.36816    	 h = 0.000976562    	 yi(1/2) = 1.03937e+06    	 yi - yi(1/2) = -4.98258e-08    	 LEE = 5.69437e-08    	 c1 = 10    	 c2 = 1
	 i = 4059    	 yi = 1.0406e+06    	 xi = 9.36914    	 h = 0.000976562    	 yi(1/2) = 1.0406e+06    	 yi - yi(1/2) = -4.98258e-08    	 LEE = 5.69437e-08    	 c1 = 10    	 c2 = 1
	 i = 4060    	 yi = 1.04183e+06    	 xi = 9.37012    	 h = 0.000976562    	 yi(1/2) = 1.04183e+06    	 yi - yi(1/2) = -4.98258e-08    	 LEE = 5.69437e-08    	 c1 = 10    	 c2 = 1
	 i = 4061    	 yi = 1.04307e+06    	 xi = 9.37109    	 h = 0.000976562    	 yi(1/2) = 1.04307e+06    	 yi - yi(1/2) = -4.98258e-08    	 LEE = 5.69437e-08    	 c1 = 10    	 c2 = 1
	 i = 4062    	 yi = 1.0443e+06    	 xi = 9.37207    	 h = 0.000976562    	 yi(1/2) = 1.0443e+06    	 yi - yi(1/2) = -5.00586e-08    	 LEE = 5.72098e-08    	 c1 = 10    	 c2 = 1
	 i = 4063    	 yi = 1.04554e+06    	 xi = 9.37305    	 h = 0.000976562    	 yi(1/2) = 1.04554e+06    	 yi - yi(1/2) = -5.00586e-08    	 LEE = 5.72098e-08    	 c1 = 10    	 c2 = 1
	 i = 4064    	 yi = 1.04677e+06    	 xi = 9.37402    	 h = 0.000976562    	 yi(1/2) = 1.04677e+06    	 yi - yi(1/2) = -5.00586e-08    	 LEE = 5.72098e-08    	 c1 = 10    	 c2 = 1
	 i = 4065    	 yi = 1.04801e+06    	 xi = 9.375    	 h = 0.000976562    	 yi(1/2) = 1.04801e+06    	 yi - yi(1/2) = -5.00586e-08    	 LEE = 5.72098e-08    	 c1 = 10    	 c2 = 1
	 i = 4066    	 yi = 1.04925e+06    	 xi = 9.37598    	 h = 0.000976562    	 yi(1/2) = 1.04925e+06    	 yi - yi(1/2) = -5.02914e-08    	 LEE = 5.74759e-08    	 c1 = 10    	 c2 = 1
	 i = 4067    	 yi = 1.05049e+06    	 xi = 9.37695    	 h = 0.000976562    	 yi(1/2) = 1.05049e+06    	 yi - yi(1/2) = -5.02914e-08    	 LEE = 5.74759e-08    	 c1 = 10    	 c2 = 1
	 i = 4068    	 yi = 1.05174e+06    	 xi = 9.37793    	 h = 0.000976562    	 yi(1/2) = 1.05174e+06    	 yi - yi(1/2) = -5.05242e-08    	 LEE = 5.7742e-08    	 c1 = 10    	 c2 = 1
	 i = 4069    	 yi = 1.05298e+06    	 xi = 9.37891    	 h = 0.000976562    	 yi(1/2) = 1.05298e+06    	 yi - yi(1/2) = -5.05242e-08    	 LEE = 5.7742e-08    	 c1 = 10    	 c2 = 1
	 i = 4070    	 yi = 1.05423e+06    	 xi = 9.37988    	 h = 0.000976562    	 yi(1/2) = 1.05423e+06    	 yi - yi(1/2) = -5.02914e-08    	 LEE = 5.74759e-08    	 c1 = 10    	 c2 = 1
	 i = 4071    	 yi = 1.05548e+06    	 xi = 9.38086    	 h = 0.000976562    	 yi(1/2) = 1.05548e+06    	 yi - yi(1/2) = -5.05242e-08    	 LEE = 5.7742e-08    	 c1 = 10    	 c2 = 1
	 i = 4072    	 yi = 1.05672e+06    	 xi = 9.38184    	 h = 0.000976562    	 yi(1/2) = 1.05672e+06    	 yi - yi(1/2) = -5.05242e-08    	 LEE = 5.7742e-08    	 c1 = 10    	 c2 = 1
	 i = 4073    	 yi = 1.05797e+06    	 xi = 9.38281    	 h = 0.000976562    	 yi(1/2) = 1.05797e+06    	 yi - yi(1/2) = -5.07571e-08    	 LEE = 5.80081e-08    	 c1 = 10    	 c2 = 1
	 i = 4074    	 yi = 1.05923e+06    	 xi = 9.38379    	 h = 0.000976562    	 yi(1/2) = 1.05923e+06    	 yi - yi(1/2) = -5.07571e-08    	 LEE = 5.80081e-08    	 c1 = 10    	 c2 = 1
	 i = 4075    	 yi = 1.06048e+06    	 xi = 9.38477    	 h = 0.000976562    	 yi(1/2) = 1.06048e+06    	 yi - yi(1/2) = -5.09899e-08    	 LEE = 5.82742e-08    	 c1 = 10    	 c2 = 1
	 i = 4076    	 yi = 1.06173e+06    	 xi = 9.38574    	 h = 0.000976562    	 yi(1/2) = 1.06173e+06    	 yi - yi(1/2) = -5.07571e-08    	 LEE = 5.80081e-08    	 c1 = 10    	 c2 = 1
	 i = 4077    	 yi = 1.06299e+06    	 xi = 9.38672    	 h = 0.000976562    	 yi(1/2) = 1.06299e+06    	 yi - yi(1/2) = -5.09899e-08    	 LEE = 5.82742e-08    	 c1 = 10    	 c2 = 1
	 i = 4078    	 yi = 1.06425e+06    	 xi = 9.3877    	 h = 0.000976562    	 yi(1/2) = 1.06425e+06    	 yi - yi(1/2) = -5.09899e-08    	 LEE = 5.82742e-08    	 c1 = 10    	 c2 = 1
	 i = 4079    	 yi = 1.06551e+06    	 xi = 9.38867    	 h = 0.000976562    	 yi(1/2) = 1.06551e+06    	 yi - yi(1/2) = -5.07571e-08    	 LEE = 5.80081e-08    	 c1 = 10    	 c2 = 1
	 i = 4080    	 yi = 1.06677e+06    	 xi = 9.38965    	 h = 0.000976562    	 yi(1/2) = 1.06677e+06    	 yi - yi(1/2) = -5.09899e-08    	 LEE = 5.82742e-08    	 c1 = 10    	 c2 = 1
	 i = 4081    	 yi = 1.06803e+06    	 xi = 9.39062    	 h = 0.000976562    	 yi(1/2) = 1.06803e+06    	 yi - yi(1/2) = -5.09899e-08    	 LEE = 5.82742e-08    	 c1 = 10    	 c2 = 1
	 i = 4082    	 yi = 1.06929e+06    	 xi = 9.3916    	 h = 0.000976562    	 yi(1/2) = 1.06929e+06    	 yi - yi(1/2) = -5.12227e-08    	 LEE = 5.85403e-08    	 c1 = 10    	 c2 = 1
	 i = 4083    	 yi = 1.07056e+06    	 xi = 9.39258    	 h = 0.000976562    	 yi(1/2) = 1.07056e+06    	 yi - yi(1/2) = -5.09899e-08    	 LEE = 5.82742e-08    	 c1 = 10    	 c2 = 1
	 i = 4084    	 yi = 1.07182e+06    	 xi = 9.39355    	 h = 0.000976562    	 yi(1/2) = 1.07182e+06    	 yi - yi(1/2) = -5.12227e-08    	 LEE = 5.85403e-08    	 c1 = 10    	 c2 = 1
	 i = 4085    	 yi = 1.07309e+06    	 xi = 9.39453    	 h = 0.000976562    	 yi(1/2) = 1.07309e+06    	 yi - yi(1/2) = -5.12227e-08    	 LEE = 5.85403e-08    	 c1 = 10    	 c2 = 1
	 i = 4086    	 yi = 1.07436e+06    	 xi = 9.39551    	 h = 0.000976562    	 yi(1/2) = 1.07436e+06    	 yi - yi(1/2) = -5.14556e-08    	 LEE = 5.88064e-08    	 c1 = 10    	 c2 = 1
	 i = 4087    	 yi = 1.07563e+06    	 xi = 9.39648    	 h = 0.000976562    	 yi(1/2) = 1.07563e+06    	 yi - yi(1/2) = -5.14556e-08    	 LEE = 5.88064e-08    	 c1 = 10    	 c2 = 1
	 i = 4088    	 yi = 1.0769e+06    	 xi = 9.39746    	 h = 0.000976562    	 yi(1/2) = 1.0769e+06    	 yi - yi(1/2) = -5.14556e-08    	 LEE = 5.88064e-08    	 c1 = 10    	 c2 = 1
	 i = 4089    	 yi = 1.07818e+06    	 xi = 9.39844    	 h = 0.000976562    	 yi(1/2) = 1.07818e+06    	 yi - yi(1/2) = -5.14556e-08    	 LEE = 5.88064e-08    	 c1 = 10    	 c2 = 1
	 i = 4090    	 yi = 1.07945e+06    	 xi = 9.39941    	 h = 0.000976562    	 yi(1/2) = 1.07945e+06    	 yi - yi(1/2) = -5.14556e-08    	 LEE = 5.88064e-08    	 c1 = 10    	 c2 = 1
	 i = 4091    	 yi = 1.08073e+06    	 xi = 9.40039    	 h = 0.000976562    	 yi(1/2) = 1.08073e+06    	 yi - yi(1/2) = -5.14556e-08    	 LEE = 5.88064e-08    	 c1 = 10    	 c2 = 1
	 i = 4092    	 yi = 1.08201e+06    	 xi = 9.40137    	 h = 0.000976562    	 yi(1/2) = 1.08201e+06    	 yi - yi(1/2) = -5.16884e-08    	 LEE = 5.90725e-08    	 c1 = 10    	 c2 = 1
	 i = 4093    	 yi = 1.08329e+06    	 xi = 9.40234    	 h = 0.000976562    	 yi(1/2) = 1.08329e+06    	 yi - yi(1/2) = -5.16884e-08    	 LEE = 5.90725e-08    	 c1 = 10    	 c2 = 1
	 i = 4094    	 yi = 1.08457e+06    	 xi = 9.40332    	 h = 0.000976562    	 yi(1/2) = 1.08457e+06    	 yi - yi(1/2) = -5.16884e-08    	 LEE = 5.90725e-08    	 c1 = 10    	 c2 = 1
	 i = 4095    	 yi = 1.08585e+06    	 xi = 9.4043    	 h = 0.000976562    	 yi(1/2) = 1.08585e+06    	 yi - yi(1/2) = -5.19212e-08    	 LEE = 5.93386e-08    	 c1 = 10    	 c2 = 1
	 i = 4096    	 yi = 1.08713e+06    	 xi = 9.40527    	 h = 0.000976562    	 yi(1/2) = 1.08713e+06    	 yi - yi(1/2) = -5.21541e-08    	 LEE = 5.96046e-08    	 c1 = 10    	 c2 = 1
	 i = 4097    	 yi = 1.08842e+06    	 xi = 9.40625    	 h = 0.000976562    	 yi(1/2) = 1.08842e+06    	 yi - yi(1/2) = -5.21541e-08    	 LEE = 5.96046e-08    	 c1 = 10    	 c2 = 1
	 i = 4098    	 yi = 1.08971e+06    	 xi = 9.40723    	 h = 0.000976562    	 yi(1/2) = 1.08971e+06    	 yi - yi(1/2) = -5.21541e-08    	 LEE = 5.96046e-08    	 c1 = 10    	 c2 = 1
	 i = 4099    	 yi = 1.091e+06    	 xi = 9.4082    	 h = 0.000976562    	 yi(1/2) = 1.091e+06    	 yi - yi(1/2) = -5.21541e-08    	 LEE = 5.96046e-08    	 c1 = 10    	 c2 = 1
	 i = 4100    	 yi = 1.09229e+06    	 xi = 9.40918    	 h = 0.000976562    	 yi(1/2) = 1.09229e+06    	 yi - yi(1/2) = -5.21541e-08    	 LEE = 5.96046e-08    	 c1 = 10    	 c2 = 1
	 i = 4101    	 yi = 1.09358e+06    	 xi = 9.41016    	 h = 0.000976562    	 yi(1/2) = 1.09358e+06    	 yi - yi(1/2) = -5.23869e-08    	 LEE = 5.98707e-08    	 c1 = 10    	 c2 = 1
	 i = 4102    	 yi = 1.09487e+06    	 xi = 9.41113    	 h = 0.000976562    	 yi(1/2) = 1.09487e+06    	 yi - yi(1/2) = -5.23869e-08    	 LEE = 5.98707e-08    	 c1 = 10    	 c2 = 1
	 i = 4103    	 yi = 1.09617e+06    	 xi = 9.41211    	 h = 0.000976562    	 yi(1/2) = 1.09617e+06    	 yi - yi(1/2) = -5.23869e-08    	 LEE = 5.98707e-08    	 c1 = 10    	 c2 = 1
	 i = 4104    	 yi = 1.09746e+06    	 xi = 9.41309    	 h = 0.000976562    	 yi(1/2) = 1.09746e+06    	 yi - yi(1/2) = -5.23869e-08    	 LEE = 5.98707e-08    	 c1 = 10    	 c2 = 1
	 i = 4105    	 yi = 1.09876e+06    	 xi = 9.41406    	 h = 0.000976562    	 yi(1/2) = 1.09876e+06    	 yi - yi(1/2) = -5.26197e-08    	 LEE = 6.01368e-08    	 c1 = 10    	 c2 = 1
	 i = 4106    	 yi = 1.10006e+06    	 xi = 9.41504    	 h = 0.000976562    	 yi(1/2) = 1.10006e+06    	 yi - yi(1/2) = -5.26197e-08    	 LEE = 6.01368e-08    	 c1 = 10    	 c2 = 1
	 i = 4107    	 yi = 1.10136e+06    	 xi = 9.41602    	 h = 0.000976562    	 yi(1/2) = 1.10136e+06    	 yi - yi(1/2) = -5.23869e-08    	 LEE = 5.98707e-08    	 c1 = 10    	 c2 = 1
	 i = 4108    	 yi = 1.10266e+06    	 xi = 9.41699    	 h = 0.000976562    	 yi(1/2) = 1.10266e+06    	 yi - yi(1/2) = -5.26197e-08    	 LEE = 6.01368e-08    	 c1 = 10    	 c2 = 1
	 i = 4109    	 yi = 1.10396e+06    	 xi = 9.41797    	 h = 0.000976562    	 yi(1/2) = 1.10396e+06    	 yi - yi(1/2) = -5.26197e-08    	 LEE = 6.01368e-08    	 c1 = 10    	 c2 = 1
	 i = 4110    	 yi = 1.10527e+06    	 xi = 9.41895    	 h = 0.000976562    	 yi(1/2) = 1.10527e+06    	 yi - yi(1/2) = -5.28526e-08    	 LEE = 6.04029e-08    	 c1 = 10    	 c2 = 1
	 i = 4111    	 yi = 1.10658e+06    	 xi = 9.41992    	 h = 0.000976562    	 yi(1/2) = 1.10658e+06    	 yi - yi(1/2) = -5.30854e-08    	 LEE = 6.0669e-08    	 c1 = 10    	 c2 = 1
	 i = 4112    	 yi = 1.10789e+06    	 xi = 9.4209    	 h = 0.000976562    	 yi(1/2) = 1.10789e+06    	 yi - yi(1/2) = -5.30854e-08    	 LEE = 6.0669e-08    	 c1 = 10    	 c2 = 1
	 i = 4113    	 yi = 1.10919e+06    	 xi = 9.42188    	 h = 0.000976562    	 yi(1/2) = 1.10919e+06    	 yi - yi(1/2) = -5.30854e-08    	 LEE = 6.0669e-08    	 c1 = 10    	 c2 = 1
	 i = 4114    	 yi = 1.11051e+06    	 xi = 9.42285    	 h = 0.000976562    	 yi(1/2) = 1.11051e+06    	 yi - yi(1/2) = -5.30854e-08    	 LEE = 6.0669e-08    	 c1 = 10    	 c2 = 1
	 i = 4115    	 yi = 1.11182e+06    	 xi = 9.42383    	 h = 0.000976562    	 yi(1/2) = 1.11182e+06    	 yi - yi(1/2) = -5.30854e-08    	 LEE = 6.0669e-08    	 c1 = 10    	 c2 = 1
	 i = 4116    	 yi = 1.11313e+06    	 xi = 9.4248    	 h = 0.000976562    	 yi(1/2) = 1.11313e+06    	 yi - yi(1/2) = -5.30854e-08    	 LEE = 6.0669e-08    	 c1 = 10    	 c2 = 1
	 i = 4117    	 yi = 1.11445e+06    	 xi = 9.42578    	 h = 0.000976562    	 yi(1/2) = 1.11445e+06    	 yi - yi(1/2) = -5.33182e-08    	 LEE = 6.09351e-08    	 c1 = 10    	 c2 = 1
	 i = 4118    	 yi = 1.11577e+06    	 xi = 9.42676    	 h = 0.000976562    	 yi(1/2) = 1.11577e+06    	 yi - yi(1/2) = -5.33182e-08    	 LEE = 6.09351e-08    	 c1 = 10    	 c2 = 1
	 i = 4119    	 yi = 1.11709e+06    	 xi = 9.42773    	 h = 0.000976562    	 yi(1/2) = 1.11709e+06    	 yi - yi(1/2) = -5.3551e-08    	 LEE = 6.12012e-08    	 c1 = 10    	 c2 = 1
	 i = 4120    	 yi = 1.11841e+06    	 xi = 9.42871    	 h = 0.000976562    	 yi(1/2) = 1.11841e+06    	 yi - yi(1/2) = -5.33182e-08    	 LEE = 6.09351e-08    	 c1 = 10    	 c2 = 1
	 i = 4121    	 yi = 1.11973e+06    	 xi = 9.42969    	 h = 0.000976562    	 yi(1/2) = 1.11973e+06    	 yi - yi(1/2) = -5.33182e-08    	 LEE = 6.09351e-08    	 c1 = 10    	 c2 = 1
	 i = 4122    	 yi = 1.12105e+06    	 xi = 9.43066    	 h = 0.000976562    	 yi(1/2) = 1.12105e+06    	 yi - yi(1/2) = -5.3551e-08    	 LEE = 6.12012e-08    	 c1 = 10    	 c2 = 1
	 i = 4123    	 yi = 1.12238e+06    	 xi = 9.43164    	 h = 0.000976562    	 yi(1/2) = 1.12238e+06    	 yi - yi(1/2) = -5.3551e-08    	 LEE = 6.12012e-08    	 c1 = 10    	 c2 = 1
	 i = 4124    	 yi = 1.1237e+06    	 xi = 9.43262    	 h = 0.000976562    	 yi(1/2) = 1.1237e+06    	 yi - yi(1/2) = -5.37839e-08    	 LEE = 6.14673e-08    	 c1 = 10    	 c2 = 1
	 i = 4125    	 yi = 1.12503e+06    	 xi = 9.43359    	 h = 0.000976562    	 yi(1/2) = 1.12503e+06    	 yi - yi(1/2) = -5.37839e-08    	 LEE = 6.14673e-08    	 c1 = 10    	 c2 = 1
	 i = 4126    	 yi = 1.12636e+06    	 xi = 9.43457    	 h = 0.000976562    	 yi(1/2) = 1.12636e+06    	 yi - yi(1/2) = -5.37839e-08    	 LEE = 6.14673e-08    	 c1 = 10    	 c2 = 1
